name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,avg_deg,std_deg
gnp_0061,200,0.5,2,70.65,31000.51,"189.0
",0.0,False,9975,1,0.5009524215168774,99.75,6.785830826066916
gnp_0062,200,0.5,3,63.28,31666.61,"189.0
",0.0,False,9942,1,0.49984047782696217,99.42,7.1086988964226085
gnp_0063,200,0.5,4,69.84,32669.12,"189.0
",0.0,False,10066,1,0.5045919325641443,100.66,6.405809862929121
gnp_0064,200,0.5,5,57.02,28302.21,"189.0
",0.0,False,9956,1,0.49971986924130973,99.56,7.050276590318992
gnp_0065,200,0.7,1,22.66,10585.22,"193.0
",0.0,False,13953,1,0.7014919803009266,139.53,6.734174039925016
gnp_0066,200,0.7,2,25.93,11939.33,"193.0
",0.0,False,13910,1,0.6988332555391793,139.1,6.511528238439882
gnp_0067,200,0.7,3,25.27,10705.60,"193.0
",0.0,False,13912,1,0.699096165238864,139.12,6.328949359885889
gnp_0068,200,0.7,4,22.22,10408.79,"193.0
",0.0,False,13907,1,0.6987179040827576,139.07,6.240600932602565
gnp_0069,200,0.7,5,22.95,10128.05,"193.0
",0.0,False,13914,1,0.6989777134556868,139.14,6.30320553369474
gnp_0070,200,0.9,1,5.42,2188.01,"196.0
",0.0,False,17874,1,0.8981371429121937,178.74,4.089303119114552
gnp_0071,200,0.9,2,5.52,2226.77,"196.0
",0.0,False,17909,1,0.8998431970740896,179.09,3.904087601476176
gnp_0072,200,0.9,3,4.12,1776.94,"196.0
",0.0,False,17935,1,0.9014192901081947,179.35,4.498610896710228
gnp_0073,200,0.9,4,4.81,1938.40,"196.0
",0.0,False,17915,1,0.9001187318111065,179.15,3.9188646314972404
gnp_0074,200,0.9,5,5.09,2382.99,"196.0
",0.0,False,17864,1,0.897722022425338,178.64,4.228522200485649
gnp_0075,250,0.1,1,1801.81,885756.20,"206.0
",0.05085018129283292,True,3163,1,0.10118580195383751,25.304,4.901793957318075
gnp_0076,250,0.1,2,1801.72,880590.80,"206.0
",0.05289609922934759,True,3094,1,0.09980210353814203,24.752,4.614162545901476
gnp_0077,250,0.1,3,1802.12,902049.34,"206.0
",0.05292151569830992,True,3078,1,0.0982489001400366,24.624,4.462580419443441
gnp_0078,250,0.1,4,1802.30,897337.81,"206.0
",0.051575255457852846,True,3073,1,0.10064039631601096,24.584,4.7609814114318905
gnp_0079,250,0.1,5,1802.14,894890.75,"204.0
",0.04545885093791367,True,3054,1,0.09873615078668758,24.432,5.133164326222179
gnp_0080,250,0.3,1,1800.01,836719.90,"231.0
",0.011544519106947931,True,9330,1,0.2993176256111009,74.64,7.346727162485347
