name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_00137,150,3,3,5.13,1932.09,"139.0
",0.0,False,375,1,0.007999999999999998,0.0510163372525573
rrg_00138,150,3,4,3.09,1075.63,"139.0
",0.0,False,375,1,0.007999999999999998,0.051016337252557296
rrg_00139,150,3,5,3.54,1265.25,"137.0
",0.0,False,375,1,0.004,0.03629508690350986
rrg_00140,150,3,6,3.74,1332.99,"139.0
",0.0,False,375,1,0.007999999999999998,0.051016337252557296
rrg_00141,150,3,7,2.56,872.72,"138.0
",0.0,False,375,1,0.007999999999999998,0.0510163372525573
rrg_00142,150,3,8,2.72,893.19,"139.0
",0.0,False,375,1,0.012,0.0620966987850401
rrg_00143,150,3,9,2.08,723.73,"138.0
",0.0,False,375,1,0.008,0.051016337252557296
rrg_00144,150,3,10,2.88,981.01,"138.0
",0.0,False,375,1,0.004,0.03629508690350987
rrg_00145,150,3,11,1.96,582.56,"138.0
",0.0,False,375,1,0.004,0.03629508690350987
rrg_00146,150,3,12,2.11,660.36,"139.0
",0.0,False,375,1,0.02,0.07916228058025278
rrg_00147,150,3,13,2.11,623.33,"138.0
",0.0,False,375,1,0.007999999999999998,0.0510163372525573
rrg_00148,150,3,14,9.21,3664.42,"139.0
",0.0,False,375,1,0.007999999999999998,0.051016337252557296
rrg_00149,150,3,15,2.12,620.21,"138.0
",0.0,False,375,1,0.012,0.062096698785040094
rrg_00150,150,4,1,5.88,2287.13,"166.0
",0.0,False,450,1,0.016666666666666666,0.0726483157256779
rrg_00151,150,4,2,9.17,3612.75,"166.0
",0.0,False,450,1,0.006666666666666667,0.04666666666666666
rrg_00152,150,4,3,13.91,5621.98,"166.0
",0.0,False,450,1,0.0033333333333333335,0.033166247903554
rrg_00153,150,4,4,5.89,2305.34,"165.0
",0.0,False,450,1,0.0033333333333333335,0.033166247903554005
rrg_00154,150,4,5,8.93,3551.94,"165.0
",0.0,False,450,1,0.0,0.0
rrg_00155,150,4,6,15.61,6542.86,"166.0
",0.0,False,450,1,0.0033333333333333335,0.033166247903554005
rrg_00156,150,4,7,7.42,2949.19,"166.0
",0.0,False,450,1,0.01,0.05686240703077326
rrg_00157,150,4,8,16.18,6669.57,"166.0
",0.0,False,450,1,0.0,0.0
rrg_00158,150,4,9,4.46,1619.95,"165.0
",0.0,False,450,1,0.006666666666666667,0.04666666666666666
rrg_00159,150,4,10,12.51,5069.27,"166.0
",0.0,False,450,1,0.01,0.05686240703077326
rrg_00160,150,4,11,4.74,1659.90,"165.0
",0.0,False,450,1,0.01,0.05686240703077327
rrg_00161,150,4,12,7.92,3198.28,"166.0
",0.0,False,450,1,0.0033333333333333335,0.033166247903554
rrg_00162,150,4,13,12.33,5053.65,"166.0
",0.0,False,450,1,0.006666666666666667,0.04666666666666666
rrg_00163,150,4,14,6.26,2382.87,"166.0
",0.0,False,450,1,0.006666666666666667,0.04666666666666666
rrg_00164,150,4,15,13.66,5489.02,"166.0
",0.0,False,450,1,0.0033333333333333335,0.033166247903554
rrg_00165,150,5,1,668.93,287113.96,"276.0
",0.0,False,750,1,0.004,0.03629508690350987
rrg_00166,150,5,2,168.60,73092.80,"274.0
",0.0,False,750,1,0.008,0.051016337252557296
rrg_00167,150,5,3,643.96,277159.29,"276.0
",0.0,False,750,1,0.002,0.02574231276841043
rrg_00168,150,5,4,1548.84,672495.99,"276.0
",0.0,False,750,1,0.002,0.02574231276841043
rrg_00169,150,5,5,1018.52,436248.41,"276.0
",0.0,False,750,1,0.006,0.04431703961232067
rrg_00170,150,5,6,693.73,298163.08,"276.0
",0.0,False,750,1,0.002,0.025742312768410432
rrg_00171,150,5,7,1800.00,782941.82,"277.0
",0.008007011098344874,True,750,1,0.006,0.04431703961232066
rrg_00172,150,5,8,594.18,254611.17,"276.0
",0.0,False,750,1,0.004,0.03629508690350987
rrg_00173,150,5,9,661.45,283606.34,"276.0
",0.0,False,750,1,0.0,0.0
rrg_00174,150,5,10,624.13,269273.85,"276.0
",0.0,False,750,1,0.004,0.03629508690350987
rrg_00175,150,5,11,449.83,194318.33,"275.0
",0.0,False,750,1,0.0,0.0
rrg_00176,150,5,12,686.56,293853.83,"276.0
",0.0,False,750,1,0.003999999999999999,0.03629508690350987
rrg_00177,150,5,13,1800.00,775721.93,"277.0
",0.008078025387832167,True,750,1,0.0,0.0
rrg_00178,150,5,14,428.96,184767.25,"276.0
",0.0,False,750,1,0.002,0.025742312768410432
rrg_00179,150,5,15,1022.63,436789.99,"276.0
",0.0,False,750,1,0.0,0.0
rrg_00180,150,7,1,0.75,196.82,"60.0
",0.0,False,200,1,0.019999999999999997,0.054160256030906406
rrg_00181,150,7,2,0.64,176.78,"61.0
",0.0,False,200,1,0.025,0.06400954789890506
rrg_00182,150,7,3,0.64,174.01,"60.0
",0.0,False,200,1,0.01,0.03958114029012638
rrg_00183,150,7,4,0.17,51.47,"60.0
",0.0,False,200,1,0.03,0.06403124237432849
rrg_00184,150,7,5,0.61,164.22,"60.0
",0.0,False,200,1,0.01,0.03958114029012638
rrg_00185,150,7,6,0.48,120.30,"60.0
",0.0,False,200,1,0.029999999999999995,0.07218802609235905
rrg_00186,150,7,7,0.25,64.59,"59.0
",0.0,False,200,1,0.02,0.0541602560309064
rrg_00187,150,7,8,0.63,174.13,"62.0
",0.0,False,200,1,0.05500000000000001,0.08516324194027479
rrg_00188,150,7,9,0.79,206.96,"60.0
",0.0,False,200,1,0.01,0.039581140290126375
rrg_00189,150,7,10,0.61,171.03,"60.0
",0.0,False,200,1,0.01,0.051747248987533405
rrg_00190,150,7,11,0.27,68.28,"59.0
",0.0,False,200,1,0.02,0.05416025603090641
rrg_00191,150,7,12,0.69,171.90,"60.0
",0.0,False,200,1,0.015,0.04769696007084728
rrg_00192,150,7,13,0.41,96.36,"60.0
",0.0,False,200,1,0.034999999999999996,0.07186020379103367
rrg_00193,150,7,14,0.43,100.60,"60.0
",0.0,False,200,1,0.035,0.06788470618138766
rrg_00194,150,7,15,0.80,217.74,"60.0
",0.0,False,200,1,0.009999999999999998,0.03958114029012639
rrg_00195,150,10,1,1.82,531.36,"89.0
",0.0,False,300,1,0.02,0.057477854028344724
rrg_00196,150,10,2,1.02,317.18,"88.0
",0.0,False,300,1,0.013333333333333332,0.045215533220835116
rrg_00197,150,10,3,3.36,1221.34,"90.0
",0.0,False,300,1,0.013333333333333334,0.045215533220835116
rrg_00198,150,10,4,2.46,835.78,"90.0
",0.0,False,300,1,0.013333333333333332,0.05277485372016852
rrg_00199,150,10,5,2.18,740.68,"90.0
",0.0,False,300,1,0.023333333333333334,0.05783117190965824
rrg_00200,150,10,6,2.37,793.20,"89.0
",0.0,False,300,1,0.01,0.03958114029012639
rrg_00201,150,10,7,1.26,378.58,"89.0
",0.0,False,300,1,0.02666666666666667,0.064060156912887
rrg_00202,150,10,8,1.17,336.85,"89.0
",0.0,False,300,1,0.013333333333333334,0.045215533220835116
rrg_00203,150,10,9,1.34,393.11,"89.0
",0.0,False,300,1,0.02666666666666667,0.06110100926607786
rrg_00204,150,10,10,0.96,281.24,"90.0
",0.0,False,300,1,0.039999999999999994,0.07620634755325442
rrg_00205,150,10,11,2.08,726.99,"89.0
",0.0,False,300,1,0.006666666666666667,0.032659863237109045
rrg_00206,150,10,12,1.34,383.35,"89.0
",0.0,False,300,1,0.016666666666666666,0.04999999999999999
rrg_00207,150,10,13,1.72,480.89,"89.0
",0.0,False,300,1,0.016666666666666666,0.05357583756107196
rrg_00208,150,10,14,3.82,1430.10,"90.0
",0.0,False,300,1,0.009999999999999998,0.03958114029012639
rrg_00209,150,10,15,2.06,619.91,"89.0
",0.0,False,300,1,0.006666666666666667,0.032659863237109045
rrg_00210,150,20,1,12.87,5085.61,"119.0
",0.0,False,400,1,0.01,0.03958114029012639
rrg_00211,150,20,2,4.43,1560.39,"119.0
",0.0,False,400,1,0.0225,0.061638507084091146
rrg_00212,150,20,3,16.92,6920.27,"119.0
",0.0,False,400,1,0.0075,0.03455068740271313
rrg_00213,150,20,4,7.19,2710.59,"119.0
",0.0,False,400,1,0.017499999999999998,0.0510922368532311
rrg_00214,150,20,5,8.23,3260.25,"119.0
",0.0,False,400,1,0.0225,0.061638507084091146
rrg_00215,150,20,6,15.32,6229.65,"119.0
",0.0,False,400,1,0.0075,0.03455068740271313
rrg_00216,150,20,7,14.77,5914.78,"119.0
",0.0,False,400,1,0.0075,0.03455068740271313
rrg_00217,150,20,8,12.99,5037.80,"119.0
",0.0,False,400,1,0.009999999999999998,0.03958114029012639
rrg_00218,150,20,9,13.71,5357.93,"119.0
",0.0,False,400,1,0.0075,0.03455068740271313
rrg_00219,150,20,10,34.71,14678.32,"120.0
",0.0,False,400,1,0.0125,0.04389855730355307
rrg_00220,150,20,11,7.77,3036.73,"118.0
",0.0,False,400,1,0.007499999999999999,0.03455068740271313
rrg_00221,150,20,12,12.26,4753.16,"119.0
",0.0,False,400,1,0.015,0.05320296566504123
rrg_00222,150,20,13,6.55,2535.98,"119.0
",0.0,False,400,1,0.015,0.04769696007084728
rrg_00223,150,20,14,22.91,9418.13,"120.0
",0.0,False,400,1,0.0075,0.03455068740271313
rrg_00224,150,20,15,8.19,3257.01,"118.0
",0.0,False,400,1,0.015,0.04769696007084729
rrg_00225,150,30,1,84.95,37680.66,"149.0
",0.0,False,500,1,0.01,0.03958114029012639
rrg_00226,150,30,2,56.30,24741.07,"148.0
",0.0,False,500,1,0.011999999999999999,0.04308131845707602
rrg_00227,150,30,3,36.68,16088.64,"147.0
",0.0,False,500,1,0.006,0.031048349392520047
rrg_00228,150,30,4,41.19,17493.63,"148.0
",0.0,False,500,1,0.006,0.031048349392520047
rrg_00229,150,30,5,49.10,20738.71,"149.0
",0.0,False,500,1,0.018,0.05173006862551025
rrg_00230,150,30,6,47.39,20146.13,"148.0
",0.0,False,500,1,0.012,0.04308131845707602
rrg_00231,150,30,7,59.80,25679.69,"149.0
",0.0,False,500,1,0.012,0.04796294866294652
rrg_00232,150,30,8,44.68,19298.83,"148.0
",0.0,False,500,1,0.011999999999999999,0.04308131845707602
rrg_00233,150,30,9,95.02,41486.58,"149.0
",0.0,False,500,1,0.006,0.031048349392520047
rrg_00234,150,30,10,79.57,34833.38,"148.0
",0.0,False,500,1,0.004,0.025508168626278648
rrg_00235,150,30,11,62.78,27371.33,"148.0
",0.0,False,500,1,0.01,0.03958114029012639
rrg_00236,150,30,12,96.76,42095.33,"149.0
",0.0,False,500,1,0.016,0.05343323975870368
