name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_0088,200,3,4,1800.00,796488.90,"298.0
",0.040405246980656576,True,1000,1,0.005,0.02843120351538663
rrg_0089,200,3,5,1800.01,800953.33,"298.0
",0.03988847046013339,True,1000,1,0.001,0.012871156384205218
rrg_0090,200,4,1,0.53,135.41,"63.0
",0.0,False,250,1,0.036000000000000004,0.05003998401278722
rrg_0091,200,4,2,0.92,223.71,"62.0
",0.0,False,250,1,0.024000000000000004,0.04270831300812525
rrg_0092,200,4,3,0.59,164.06,"63.0
",0.0,False,250,1,0.03,0.05385164807134505
rrg_0093,200,4,4,0.36,109.66,"62.0
",0.0,False,250,1,0.03,0.04582575694955841
rrg_0094,200,4,5,0.44,134.25,"63.0
",0.0,False,250,1,0.036000000000000004,0.059194594347794977
rrg_0095,200,5,1,6.10,2358.06,"94.0
",0.0,False,375,1,0.018000000000000002,0.0384187454245971
rrg_0096,200,5,2,9.04,3558.02,"94.0
",0.0,False,375,1,0.02,0.04760952285695232
rrg_0097,200,5,3,10.94,4053.22,"95.0
",0.0,False,375,1,0.03200000000000001,0.05455272678794343
rrg_0098,200,5,4,8.19,3181.22,"94.0
",0.0,False,375,1,0.03,0.051316014394468853
rrg_0099,200,5,5,14.71,5968.80,"95.0
",0.0,False,375,1,0.02,0.04163331998932266
rrg_0100,200,7,1,54.11,23469.09,"125.0
",0.0,False,500,1,0.0165,0.03711805490593493
rrg_0101,200,7,2,59.93,26650.71,"125.0
",0.0,False,500,1,0.022500000000000006,0.04736823830374104
rrg_0102,200,7,3,117.33,52624.79,"125.0
",0.0,False,500,1,0.0105,0.03224515467477245
rrg_0103,200,7,4,168.12,75326.16,"126.0
",0.0,False,500,1,0.015000000000000003,0.035707142142714254
rrg_0104,200,7,5,139.40,63033.13,"125.0
",0.0,False,500,1,0.013500000000000002,0.03417235724968355
rrg_0105,200,10,1,1800.00,824176.54,"157.0
",0.014163971174801716,True,625,1,0.013200000000000002,0.03613530129942188
rrg_0106,200,10,2,1263.34,586296.11,"156.0
",0.0,False,625,1,0.006,0.023748684174075833
rrg_0107,200,10,3,595.58,271970.79,"157.0
",0.0,False,625,1,0.024,0.04543126676640219
rrg_0108,200,10,4,706.18,326571.01,"156.0
",0.0,False,625,1,0.0096,0.029459124223235156
rrg_0109,200,10,5,281.38,128208.42,"155.0
",0.0,False,625,1,0.012,0.03249615361854384
rrg_0110,200,20,1,1800.73,831254.98,"188.0
",0.03086788785063525,True,750,1,0.004000000000000001,0.019595917942265426
rrg_0111,200,20,2,1800.00,817340.97,"187.0
",0.01795076327306893,True,750,1,0.013000000000000001,0.03648287269390941
rrg_0112,200,20,3,1800.88,820099.07,"188.0
",0.030844404841431052,True,750,1,0.008000000000000002,0.027129319932501072
rrg_0113,200,20,4,1801.07,818478.91,"188.0
",0.02467290867708834,True,750,1,0.014,0.035646411694119605
rrg_0114,200,20,5,1800.76,820877.51,"188.0
",0.022158063838310597,True,750,1,0.014,0.035646411694119605
rrg_0115,200,30,1,1800.00,823705.91,"314.0
",0.057998604133920786,True,1250,1,0.0066,0.02482820976228452
rrg_0116,200,30,2,1800.00,824250.15,"314.0
",0.062039526328975025,True,1250,1,0.0078000000000000005,0.02755285829092873
rrg_0117,200,30,3,1800.01,820107.38,"313.0
",0.05681173931222153,True,1250,1,0.0066,0.026390149677483835
rrg_0118,200,30,4,1800.00,826087.10,"314.0
",0.05982351758212473,True,1250,1,0.0066,0.02713742802846283
rrg_0119,200,30,5,1800.00,820391.39,"312.0
",0.055159758802761756,True,1250,1,0.006600000000000002,0.026390149677483835
rrg_0120,250,2,1,0.97,296.32,"67.0
",0.0,False,350,1,0.04857142857142856,0.04414981709142574
rrg_0121,250,2,2,0.78,251.19,"68.0
",0.0,False,350,1,0.058571428571428566,0.05210098340391791
rrg_0122,250,2,3,1.37,426.93,"69.0
",0.0,False,350,1,0.061428571428571416,0.05007703815689275
rrg_0123,250,2,4,0.74,209.60,"68.0
",0.0,False,350,1,0.06714285714285713,0.05349253449936291
rrg_0124,250,2,5,0.79,243.39,"68.0
",0.0,False,350,1,0.05714285714285714,0.044160088073789065
rrg_0125,250,3,1,23.07,9168.55,"102.0
",0.0,False,525,1,0.043809523809523805,0.04206319257156035
rrg_0126,250,3,2,31.18,13096.97,"102.0
",0.0,False,525,1,0.03428571428571428,0.039313842743905314
rrg_0127,250,3,3,23.71,9626.15,"101.0
",0.0,False,525,1,0.030476190476190476,0.03357283572419628
rrg_0128,250,3,4,62.20,26283.25,"102.0
",0.0,False,525,1,0.028571428571428564,0.034338583575847514
rrg_0129,250,3,5,79.13,34498.92,"102.0
",0.0,False,525,1,0.03428571428571428,0.04227827762434665
