name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
gnp_0078,250,0.1,4,1802.30,897337.81,"206.0
",0.051575255457852846,True,3073,1,0.10064039631601096,0.01897672467810252
gnp_0079,250,0.1,5,1802.14,894890.75,"204.0
",0.04545885093791367,True,3054,1,0.09873615078668758,0.017597468435671903
gnp_0080,250,0.3,1,1800.01,836719.90,"231.0
",0.011544519106947931,True,9330,1,0.2993176256111009,0.00931330787275056
gnp_0081,250,0.3,2,1800.00,774773.51,"231.0
",0.020937967565883002,True,9400,1,0.3011341654729345,0.008889915655140383
gnp_0082,250,0.3,3,1800.01,743413.94,"231.0
",0.023262533629364153,True,9265,1,0.29679584157098216,0.008223696138946253
gnp_0083,250,0.3,4,1800.00,770285.07,"231.0
",0.018189391954958094,True,9388,1,0.3018578172761744,0.008535141633194755
gnp_0084,250,0.3,5,1800.00,837590.48,"231.0
",0.01988306178243489,True,9294,1,0.2982219734191097,0.008774349610361859
gnp_0085,250,0.5,1,260.38,115489.07,"238.0
",0.0,False,15527,1,0.4988826021475329,0.004743564028392444
gnp_0086,250,0.5,2,315.94,136085.50,"238.0
",0.0,False,15606,1,0.5018276033447595,0.0055398848953409
gnp_0087,250,0.5,3,285.95,127116.79,"238.0
",0.0,False,15582,1,0.5011317072822108,0.00508911662447184
gnp_0088,250,0.5,4,232.02,106811.02,"238.0
",0.0,False,15622,1,0.5022545692416212,0.005184440630738761
gnp_0089,250,0.5,5,236.84,110640.72,"238.0
",0.0,False,15545,1,0.49921243690575673,0.004885507672667689
gnp_0090,250,0.7,1,122.35,52310.22,"243.0
",0.0,False,21782,1,0.6996041812439616,0.0026658399714373222
gnp_0091,250,0.7,2,167.52,67649.42,"243.0
",0.0,False,21797,1,0.7001827553194475,0.002582806400194349
gnp_0092,250,0.7,3,147.24,58482.16,"243.0
",0.0,False,21736,1,0.6984276000371965,0.0026935899696029584
gnp_0093,250,0.7,4,126.47,56150.01,"243.0
",0.0,False,21702,1,0.6974634501602652,0.0027641694032667493
